alerta_id,tipo_alerta,severidad,score_alerta,estado,descripcion,fecha_creacion,fecha_cierre,es_falso_positivo,reglas_disparadas,acciones_recomendadas,analista_asignado
AL0000001,VELOCIDAD_ANOMALA,5,0.99,CERRADA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0005557,2025-12-29T10:10:11Z,2026-01-10,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_02
AL0000002,VELOCIDAD_ANOMALA,5,0.99,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0000370,2026-02-12T03:15:43Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_07
AL0000003,DISPOSITIVO_COMPROMETIDO,5,0.99,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0000811,2025-11-29T18:44:12Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_14
AL0000004,COMERCIO_BLACKLIST,5,0.92,ABIERTA,Alerta generada por COMERCIO_BLACKLIST en transaccion TX0004902,2026-01-22T03:49:54Z,,false,R3_COMERCIO_BLACKLIST|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_01
AL0000005,VELOCIDAD_ANOMALA,5,0.95,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0002577,2026-04-03T21:08:28Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_04
AL0000006,PATRON_SOSPECHOSO,5,0.95,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0001754,2025-11-05T01:18:31Z,,false,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_11
AL0000007,VELOCIDAD_ANOMALA,5,0.94,CERRADA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0004654,2025-12-16T04:37:07Z,2025-12-24,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_12
AL0000008,VELOCIDAD_ANOMALA,5,0.92,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0008079,2026-01-07T01:46:52Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_19
AL0000009,VELOCIDAD_ANOMALA,5,0.93,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0004188,2025-11-09T23:40:47Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_10
AL0000010,VELOCIDAD_ANOMALA,5,0.99,CERRADA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0001368,2026-03-12T04:15:11Z,2026-03-16,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_16
AL0000011,DISPOSITIVO_COMPROMETIDO,5,0.94,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0002539,2026-01-10T06:29:44Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_16
AL0000012,DISPOSITIVO_COMPROMETIDO,5,0.92,EN_INVESTIGACION,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0007047,2026-01-27T00:08:59Z,,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_19
AL0000013,VELOCIDAD_ANOMALA,5,0.92,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0002621,2026-02-18T10:37:37Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_13
AL0000014,VELOCIDAD_ANOMALA,5,0.98,ABIERTA,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0007092,2026-03-17T01:49:28Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_04
AL0000015,DISPOSITIVO_COMPROMETIDO,5,0.96,CERRADA,Alerta generada por DISPOSITIVO_COMPROMETIDO en transaccion TX0004293,2025-12-03T23:07:50Z,2025-12-11,false,R4_DISPOSITIVO|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_02
AL0000016,PATRON_SOSPECHOSO,5,0.98,EN_INVESTIGACION,Alerta generada por PATRON_SOSPECHOSO en transaccion TX0003903,2026-04-08T01:01:15Z,,true,R5_PATRON_RED|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_11
AL0000017,VELOCIDAD_ANOMALA,5,0.88,EN_INVESTIGACION,Alerta generada por VELOCIDAD_ANOMALA en transaccion TX0002529,2026-01-01T04:44:57Z,,false,R2_VELOCIDAD|R7_GEO_MISMATCH,monitoreo_reforzado|bloquear_temporal|contactar_cliente,analista_04
