dispositivo_id,fingerprint,tipo_dispositivo,sistema_operativo,app_version,ip_publica,imei_hash,rooteado,emulador,idiomas,fecha_registro,ultima_actividad,confianza
D000001,fp_4f6c2a6ca31383a76fc2,MOBILE,Android 13,3.9.2,34.201.73.155,h_2b771d300bd36dd9cd8f0f,false,false,es-GT,2023-05-20,2026-02-12T03:57:01Z,0.82
D000002,fp_5c79a58b97cbce716a5e,MOBILE,Android 14,2.0.1,170.160.11.180,h_d0abf2d494d4dfa4c0452b,false,false,es-GT|en-US,2022-03-18,2026-04-05T21:04:49Z,0.96
D000003,fp_5d6baebd1caa54271d1e,LAPTOP,Windows 10,4.17.3,83.46.160.205,h_0af122ca564c41d47e2159,false,false,es-GT,2021-07-24,2026-03-31T12:59:05Z,0.84
D000004,fp_e9acd53b0966b0c100eb,MOBILE,iOS 18,4.14.9,51.251.172.204,h_c1d8478cd78272a01fe385,false,false,es-GT|en-US,2020-12-02,2026-04-04T21:42:47Z,0.92
D000005,fp_d96f87400540bcdb8aa6,MOBILE,Android 14,4.4.4,25.158.56.228,h_29bd04ced71a1177dc4c64,false,false,es-GT,2023-04-03,2026-02-17T10:09:35Z,0.97
D000006,fp_028ed83b7db545909a17,LAPTOP,Windows 10,4.15.1,174.215.196.233,h_5aa411111ce72d5dcfdc6d,false,false,es-GT|en-US,2020-12-04,2026-01-04T09:59:31Z,0.95
D000007,fp_35ad205352d395f392c7,MOBILE,iOS 18,3.5.8,33.192.222.211,h_6941cb7aed97e5a2d0bf54,false,false,es-GT,2025-10-21,2026-03-23T13:07:51Z,0.94
D000008,fp_e185c7743473c23deb51,MOBILE,Android 13,4.15.1,112.19.188.36,h_b2586f5b5f0ac2c0f81331,false,false,es-GT|en-US,2021-03-21,2026-01-14T12:18:59Z,0.94
D000009,fp_8f47f8db4623e2324f52,MOBILE,Android 13,4.20.5,154.42.173.174,h_855251d4ee347743e4f754,false,false,es-GT,2022-01-04,2026-01-19T20:24:02Z,0.80
D000010,fp_867a0f67d2c7a96e97fa,MOBILE,iOS 17,4.9.1,145.83.89.109,h_1dcd1a0d70018a1fef37cb,false,false,es-GT|en-US,2023-06-13,2026-02-26T20:38:52Z,0.79
