cliente_id,cuenta_id,fecha_inicio,tipo_titularidad,porcentaje_propiedad,estado_relacion,origen_onboarding
C001100,CU000001,2024-12-01,PRINCIPAL,100.00,ACTIVA,APP
C000125,CU000002,2025-10-08,PRINCIPAL,100.00,ACTIVA,APP
C000917,CU000003,2024-01-25,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000630,CU000004,2025-05-04,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001000,CU000005,2023-11-24,PRINCIPAL,100.00,ACTIVA,WEB
C000333,CU000006,2022-10-14,PRINCIPAL,100.00,ACTIVA,APP
C000834,CU000007,2023-10-12,PRINCIPAL,100.00,ACTIVA,APP
C000990,CU000008,2026-04-09,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001181,CU000009,2023-03-08,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000269,CU000010,2024-12-10,PRINCIPAL,100.00,ACTIVA,WEB
C000754,CU000011,2023-09-17,PRINCIPAL,100.00,ACTIVA,APP
C000405,CU000012,2021-06-01,PRINCIPAL,100.00,ACTIVA,APP
C000734,CU000013,2023-01-24,PRINCIPAL,100.00,INACTIVA,SUCURSAL
C000166,CU000014,2024-04-20,PRINCIPAL,100.00,ACTIVA,APP
C000599,CU000015,2024-02-20,PRINCIPAL,100.00,ACTIVA,APP
C000369,CU000016,2022-10-29,PRINCIPAL,100.00,ACTIVA,APP
C000318,CU000017,2025-07-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000114,CU000018,2021-07-21,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000058,CU000019,2026-02-22,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000997,CU000020,2026-02-05,PRINCIPAL,100.00,ACTIVA,APP
C000318,CU000021,2025-06-01,PRINCIPAL,50.00,ACTIVA,WEB
C000972,CU000021,2025-06-01,COTITULAR,50.00,ACTIVA,SUCURSAL
C000973,CU000022,2021-10-17,PRINCIPAL,100.00,ACTIVA,WEB
C000781,CU000023,2020-04-08,PRINCIPAL,100.00,ACTIVA,WEB
C000775,CU000024,2020-07-04,PRINCIPAL,100.00,ACTIVA,APP
C000612,CU000025,2024-12-04,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000974,CU000026,2026-01-13,PRINCIPAL,50.00,ACTIVA,APP
C000945,CU000026,2026-01-13,COTITULAR,50.00,ACTIVA,WEB
C000711,CU000027,2025-01-15,PRINCIPAL,100.00,ACTIVA,APP
C000012,CU000028,2026-04-12,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000254,CU000029,2022-11-23,PRINCIPAL,100.00,ACTIVA,WEB
C000434,CU000030,2023-05-30,PRINCIPAL,100.00,ACTIVA,WEB
C000635,CU000031,2026-02-16,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000274,CU000032,2021-12-17,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000962,CU000033,2026-01-06,PRINCIPAL,100.00,ACTIVA,APP
C000930,CU000034,2025-06-13,PRINCIPAL,50.00,ACTIVA,WEB
C000086,CU000034,2025-06-13,COTITULAR,50.00,ACTIVA,APP
C000800,CU000035,2025-10-12,PRINCIPAL,100.00,ACTIVA,APP
C001149,CU000036,2021-12-03,PRINCIPAL,100.00,ACTIVA,WEB
C001198,CU000037,2026-02-15,PRINCIPAL,100.00,ACTIVA,WEB
C000965,CU000038,2022-04-10,PRINCIPAL,100.00,ACTIVA,WEB
C001067,CU000039,2025-02-18,PRINCIPAL,100.00,ACTIVA,APP
C000653,CU000040,2023-11-02,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000044,CU000041,2024-01-18,PRINCIPAL,100.00,ACTIVA,WEB
C000330,CU000042,2024-02-09,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C000443,CU000043,2024-05-11,PRINCIPAL,100.00,ACTIVA,SUCURSAL
C001104,CU000044,2026-03-01,PRINCIPAL,100.00,ACTIVA,WEB
C001048,CU000045,2025-09-19,PRINCIPAL,100.00,ACTIVA,APP
C000523,CU000046,2020-05-26,PRINCIPAL,100.00,ACTIVA,APP
C000303,CU000047,2022-06-26,PRINCIPAL,100.00,INACTIVA,APP
C000925,CU000048,2024-04-24,PRINCIPAL,100.00,ACTIVA,SUCURSAL
