cliente_id,tx_id,rol,factor_autenticacion,autenticacion_ok,ip_origen,confianza_sesion
C000359,TX0002495,ORDENANTE,SMS_OTP,true,187.179.39.196,0.49
C000540,TX0001059,ORDENANTE,SIN_FACTOR,true,47.175.198.205,0.65
C000877,TX0007715,ORDENANTE,TOKEN_APP,true,102.16.16.165,0.70
C001009,TX0007612,ORDENANTE,PASSWORD,true,47.115.6.56,0.43
C001092,TX0000377,ORDENANTE,SMS_OTP,true,98.236.167.134,0.43
C000341,TX0005717,ORDENANTE,PASSWORD,true,45.102.4.232,0.27
C000136,TX0002278,ORDENANTE,TOKEN_APP,true,60.123.45.84,0.11
C000029,TX0004615,ORDENANTE,SMS_OTP,true,174.251.104.88,0.59
C000337,TX0004141,ORDENANTE,PASSWORD,true,28.197.24.37,0.49
C000102,TX0008885,ORDENANTE,BIOMETRIA,true,115.160.201.24,0.25
C000525,TX0001421,ORDENANTE,SIN_FACTOR,true,99.23.15.175,0.38
C000422,TX0002272,ORDENANTE,BIOMETRIA,true,82.46.174.93,0.44
C000360,TX0000166,ORDENANTE,BIOMETRIA,true,127.58.227.231,0.55
C000518,TX0004899,ORDENANTE,TOKEN_APP,true,47.214.99.207,0.47
C001070,TX0006439,ORDENANTE,PASSWORD,true,31.95.99.212,0.78
C000867,TX0003545,ORDENANTE,BIOMETRIA,true,155.15.246.190,0.37
C000812,TX0001275,ORDENANTE,TOKEN_APP,true,182.218.113.153,0.55
C000832,TX0002764,ORDENANTE,BIOMETRIA,true,37.74.109.233,0.49
C000250,TX0000527,ORDENANTE,PASSWORD,true,90.87.192.166,0.39
C000545,TX0000709,ORDENANTE,SMS_OTP,true,192.249.13.40,0.65
C001025,TX0005601,ORDENANTE,PASSWORD,true,96.59.219.3,0.48
C000047,TX0004792,ORDENANTE,SMS_OTP,true,197.136.189.197,0.74
C000599,TX0002701,ORDENANTE,BIOMETRIA,true,48.30.111.167,0.62
C001126,TX0007123,ORDENANTE,TOKEN_APP,true,132.166.122.62,0.60
C000446,TX0000230,ORDENANTE,SMS_OTP,true,97.56.118.161,0.53
C000892,TX0005184,ORDENANTE,PASSWORD,true,169.144.187.35,0.29
C000777,TX0001524,ORDENANTE,TOKEN_APP,true,102.65.15.36,0.74
C001001,TX0005584,ORDENANTE,SMS_OTP,true,73.171.25.201,0.14
C000334,TX0006360,ORDENANTE,SMS_OTP,true,193.122.196.90,0.46
C001054,TX0000752,ORDENANTE,PASSWORD,true,78.165.68.161,0.48
C001051,TX0007788,ORDENANTE,SMS_OTP,true,28.197.24.37,0.46
C000204,TX0005768,ORDENANTE,BIOMETRIA,true,115.180.143.101,0.50
C001172,TX0007156,ORDENANTE,BIOMETRIA,true,95.31.163.151,0.52
C000689,TX0008178,ORDENANTE,TOKEN_APP,true,42.22.101.19,0.38
C001061,TX0002784,ORDENANTE,PASSWORD,true,98.236.167.134,0.40
C001124,TX0004251,ORDENANTE,SMS_OTP,true,152.50.152.197,0.41
C000758,TX0007194,ORDENANTE,PASSWORD,true,108.84.9.192,0.42
C000092,TX0004262,ORDENANTE,SMS_OTP,true,159.134.165.125,0.52
C000369,TX0006590,ORDENANTE,PASSWORD,true,56.75.73.27,0.36
C001114,TX0006781,ORDENANTE,PASSWORD,true,174.123.67.235,0.52
C001144,TX0001896,ORDENANTE,PASSWORD,true,98.254.50.59,0.52
C000454,TX0004621,ORDENANTE,TOKEN_APP,true,163.197.202.36,0.32
C000243,TX0003397,ORDENANTE,BIOMETRIA,true,148.121.43.135,0.44
C000858,TX0007026,ORDENANTE,SMS_OTP,true,51.251.172.204,0.51
C000251,TX0008090,ORDENANTE,TOKEN_APP,true,184.139.158.180,0.64
C001198,TX0002194,ORDENANTE,PASSWORD,true,167.166.213.216,0.56
C001187,TX0005608,ORDENANTE,TOKEN_APP,true,65.42.94.64,0.68
C000036,TX0008809,ORDENANTE,SMS_OTP,true,30.133.192.115,0.48
C000628,TX0006632,ORDENANTE,BIOMETRIA,true,118.123.23.115,0.47
C001156,TX0008148,ORDENANTE,PASSWORD,true,58.24.118.93,0.54
C000642,TX0001249,ORDENANTE,PASSWORD,true,76.47.52.202,0.67
C000717,TX0001688,ORDENANTE,PASSWORD,true,53.101.149.53,0.75
C000241,TX0001784,ORDENANTE,BIOMETRIA,true,128.249.74.44,0.19
C000046,TX0002396,ORDENANTE,TOKEN_APP,true,125.213.92.223,0.58
C000076,TX0007948,ORDENANTE,PASSWORD,true,61.63.203.189,0.56
C001188,TX0002218,ORDENANTE,BIOMETRIA,true,62.172.126.45,0.73
C001124,TX0002945,ORDENANTE,PASSWORD,true,152.50.152.197,0.58
C000185,TX0004086,ORDENANTE,SIN_FACTOR,true,158.118.232.190,0.54
C000343,TX0007913,ORDENANTE,SMS_OTP,true,188.173.159.160,0.42
