cuenta_origen_id,cuenta_destino_id,tipo_vinculo,fecha_deteccion,score_vinculo,evidencia,activo
CU000001,CU000002,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000002,CU000003,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000003,CU000004,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000004,CU000005,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000005,CU000006,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000006,CU000007,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000007,CU000008,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000008,CU000009,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000009,CU000010,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000010,CU000011,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000011,CU000012,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000012,CU000013,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000013,CU000014,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000014,CU000015,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000015,CU000016,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000016,CU000017,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000017,CU000018,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000018,CU000019,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000019,CU000020,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000020,CU000021,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000021,CU000022,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000022,CU000023,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000023,CU000024,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000024,CU000025,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000025,CU000026,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000026,CU000027,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000027,CU000028,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000028,CU000029,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000029,CU000030,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000030,CU000031,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000031,CU000032,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000032,CU000033,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
CU000033,CU000034,BACKBONE_CONECTIVIDAD,2026-04-21,0.01,conexion_global|backbone,true
