tx_id,cuenta_id,monto,moneda,saldo_previo,saldo_posterior,timestamp_contable
TX0002495,CU001526,1857.78,USD,246173.02,248030.80,2025-10-23T12:06:23Z
TX0001059,CU001040,468.02,USD,14532.57,15000.59,2025-10-23T12:08:39Z
TX0007715,CU001669,341.81,USD,46581.78,46581.78,2025-10-23T12:12:41Z
TX0007612,CU000641,2649.91,USD,260.35,2910.26,2025-10-23T12:21:34Z
TX0000377,CU000758,1333.07,USD,11530.21,11530.21,2025-10-23T12:24:54Z
TX0005717,CU001534,398.06,USD,13220.76,13618.82,2025-10-23T12:40:16Z
TX0002278,CU000993,928.72,USD,28170.63,28170.63,2025-10-23T13:00:59Z
TX0004615,CU000665,475.67,GTQ,35552.20,36027.87,2025-10-23T13:19:35Z
TX0004141,CU001752,1958.68,USD,25999.62,27958.30,2025-10-23T13:53:33Z
TX0008885,CU000638,152278.79,GTQ,29903.57,182182.36,2025-10-23T13:58:10Z
TX0001421,CU001237,249.39,USD,29956.12,30205.51,2025-10-23T15:18:58Z
TX0002272,CU001133,851.95,USD,56203.34,57055.29,2025-10-23T15:35:44Z
TX0000166,CU001395,1307.88,USD,427.11,1734.99,2025-10-23T15:43:05Z
TX0004899,CU001664,1148.64,USD,39858.84,41007.48,2025-10-23T16:14:21Z
TX0006439,CU001561,894.30,USD,3488.09,3488.09,2025-10-23T16:20:07Z
TX0003545,CU000473,143042.63,GTQ,32165.12,175207.75,2025-10-23T16:52:03Z
TX0001275,CU001097,424.16,GTQ,332646.29,333070.45,2025-10-23T17:09:41Z
TX0002764,CU001757,434.03,GTQ,36156.28,36590.31,2025-10-23T17:14:18Z
TX0000527,CU001093,842.10,USD,34405.70,35247.80,2025-10-23T18:04:28Z
TX0000709,CU001609,259.97,USD,305070.12,305330.09,2025-10-23T18:22:20Z
TX0005601,CU000135,272.14,USD,41724.00,41996.14,2025-10-23T19:29:06Z
TX0004792,CU000397,960.69,USD,3803.72,4764.41,2025-10-23T19:33:09Z
TX0002701,CU000463,6618.07,USD,50410.84,57028.91,2025-10-23T20:46:11Z
TX0007123,CU001133,293.33,GTQ,57055.29,57348.62,2025-10-23T20:48:50Z
TX0000230,CU001059,1147.39,USD,32454.27,33601.66,2025-10-23T21:32:56Z
TX0005184,CU001003,1487.96,USD,4450.51,5938.47,2025-10-23T21:53:33Z
TX0001524,CU001513,2020.24,USD,14334.84,16355.08,2025-10-23T22:46:14Z
TX0005584,CU000983,1011.69,USD,40635.99,41647.68,2025-10-23T23:10:55Z
TX0006360,CU001680,790.37,GTQ,23853.34,24643.71,2025-10-23T23:11:49Z
TX0000752,CU001452,940.59,GTQ,20711.97,21652.56,2025-10-23T23:31:46Z
TX0007788,CU001694,1326.92,USD,18374.08,19701.00,2025-10-23T23:54:06Z
TX0005768,CU000195,417.03,GTQ,21048.34,21465.37,2025-10-24T00:05:36Z
TX0007156,CU000582,689.73,USD,635.21,1324.94,2025-10-24T00:25:54Z
TX0008178,CU000597,402.56,USD,37202.52,37605.08,2025-10-24T00:43:59Z
TX0002784,CU000846,1797.88,USD,18535.30,20333.18,2025-10-24T00:46:35Z
TX0004251,CU000599,252.61,GTQ,13903.30,14155.91,2025-10-24T00:58:12Z
TX0007194,CU001513,404.80,USD,16355.08,16759.88,2025-10-24T01:47:58Z
TX0004262,CU001215,1640.85,GTQ,4362.04,6002.89,2025-10-24T02:42:58Z
TX0006590,CU001095,388.78,USD,22223.83,22612.61,2025-10-24T02:47:31Z
TX0006781,CU001292,239.74,GTQ,36028.88,36268.62,2025-10-24T03:01:58Z
TX0001896,CU001440,1907.97,USD,29025.09,30933.06,2025-10-24T03:36:38Z
TX0004621,CU001651,707.66,GTQ,55429.71,56137.37,2025-10-24T04:15:56Z
TX0003397,CU000247,1721.92,USD,63569.65,65291.57,2025-10-24T05:05:44Z
TX0007026,CU001499,700.61,GTQ,32687.96,33388.57,2025-10-24T05:45:06Z
TX0008090,CU000306,597.66,GTQ,7919.64,8517.30,2025-10-24T06:28:28Z
TX0002194,CU001060,3436.97,USD,36548.45,39985.42,2025-10-24T06:33:23Z
TX0005608,CU000314,457.04,GTQ,34155.64,34612.68,2025-10-24T06:41:34Z
TX0008809,CU001656,372.59,USD,56470.50,56843.09,2025-10-24T06:54:03Z
TX0006632,CU001047,222.02,USD,6013.42,6235.44,2025-10-24T07:00:02Z
TX0008148,CU000898,432.81,GTQ,53789.04,54221.85,2025-10-24T07:00:29Z
TX0001249,CU000631,1566.55,GTQ,28717.74,30284.29,2025-10-24T07:11:35Z
TX0001688,CU000397,1136.45,GTQ,4764.41,5900.86,2025-10-24T07:22:17Z
TX0001784,CU000499,1170.28,USD,33340.97,34511.25,2025-10-24T08:24:53Z
TX0002396,CU000323,157.85,USD,28014.67,28172.52,2025-10-24T08:42:17Z
TX0007948,CU000732,373.64,GTQ,39562.93,39936.57,2025-10-24T08:46:09Z
TX0002218,CU000462,3644.40,GTQ,16291.55,19935.95,2025-10-24T08:50:54Z
TX0002945,CU000664,419.39,USD,39457.94,39877.33,2025-10-24T09:25:08Z
TX0004086,CU000729,596.36,GTQ,36230.33,36826.69,2025-10-24T09:36:27Z
TX0007913,CU001096,2149.61,GTQ,36245.30,38394.91,2025-10-24T10:09:04Z
TX0006956,CU000591,1189.41,USD,4364.10,5553.51,2025-10-24T10:12:48Z
TX0008804,CU000866,2443.05,USD,32902.21,35345.26,2025-10-24T11:12:47Z
TX0003370,CU000900,4057.38,USD,26214.00,30271.38,2025-10-24T12:23:46Z
TX0000451,CU001196,3415.94,GTQ,883.93,4299.87,2025-10-24T12:25:20Z
TX0001448,CU000215,3107.13,GTQ,15743.52,18850.65,2025-10-24T13:56:17Z
TX0004756,CU001348,1232.30,GTQ,6399.02,7631.32,2025-10-24T14:21:45Z
TX0007824,CU000731,863.44,USD,12757.13,13620.57,2025-10-24T14:27:40Z
TX0006314,CU000093,1782.84,GTQ,10005.22,11788.06,2025-10-24T14:51:12Z
TX0006329,CU001660,831.78,GTQ,212315.76,213147.54,2025-10-24T15:25:21Z
TX0005606,CU000822,4235.81,GTQ,21119.89,25355.70,2025-10-24T15:52:34Z
TX0003588,CU001515,2878.19,GTQ,63416.94,66295.13,2025-10-24T16:25:46Z
TX0002497,CU001172,1276.38,GTQ,29030.06,30306.44,2025-10-24T17:05:23Z
TX0000551,CU000144,835.74,USD,214915.10,215750.84,2025-10-24T17:17:21Z
TX0007682,CU000900,2186.08,USD,30271.38,32457.46,2025-10-24T17:35:58Z
TX0005026,CU000674,1071.70,USD,8677.40,9749.10,2025-10-24T18:38:56Z
TX0007252,CU000362,4900.47,USD,40070.23,44970.70,2025-10-24T20:09:39Z
TX0003631,CU001540,1434.91,USD,9169.75,10604.66,2025-10-24T20:14:32Z
TX0008772,CU001014,624.52,GTQ,6830.15,7454.67,2025-10-24T21:08:56Z
TX0006947,CU001627,1989.97,GTQ,16712.36,18702.33,2025-10-24T21:27:01Z
TX0001159,CU000072,375.24,USD,15196.39,15571.63,2025-10-24T22:16:40Z
TX0005745,CU001136,1984.42,USD,24103.20,26087.62,2025-10-24T22:36:06Z
TX0002374,CU000407,2235.47,GTQ,25594.14,27829.61,2025-10-24T23:15:48Z
TX0003179,CU000927,369.73,GTQ,19042.88,19412.61,2025-10-24T23:18:43Z
TX0003614,CU000344,415.91,GTQ,34022.58,34438.49,2025-10-24T23:29:51Z
TX0005285,CU000103,5431.79,USD,6197.35,11629.14,2025-10-24T23:31:16Z
TX0005203,CU001716,919.03,USD,2021.72,2940.75,2025-10-24T23:37:38Z
TX0006089,CU000859,465.49,USD,301134.27,301599.76,2025-10-24T23:57:09Z
TX0008158,CU001578,1112.16,USD,38222.38,39334.54,2025-10-25T00:15:31Z
TX0001026,CU001406,304.06,USD,15357.71,15661.77,2025-10-25T00:20:29Z
TX0008713,CU000117,102.77,USD,30926.38,30926.38,2025-10-25T01:51:03Z
TX0003246,CU001381,777.82,GTQ,7846.29,8624.11,2025-10-25T02:32:00Z
TX0002993,CU001151,1808.23,USD,31276.17,33084.40,2025-10-25T03:43:01Z
TX0005561,CU000974,214.82,GTQ,21989.57,22204.39,2025-10-25T03:44:00Z
TX0003823,CU001698,740.70,USD,25184.33,25184.33,2025-10-25T03:53:31Z
TX0007395,CU000875,464.22,USD,7100.35,7564.57,2025-10-25T04:17:26Z
TX0002938,CU000876,87634.12,USD,14223.92,101858.04,2025-10-25T04:23:03Z
TX0008595,CU000799,211.43,USD,737.16,948.59,2025-10-25T04:40:39Z
TX0005968,CU000410,590.09,GTQ,26584.07,27174.16,2025-10-25T05:02:13Z
TX0002407,CU000197,485.37,GTQ,30486.41,30971.78,2025-10-25T05:10:14Z
TX0001493,CU000602,403.93,USD,1050.97,1454.90,2025-10-25T06:02:18Z
TX0000841,CU000851,1428.55,USD,14095.78,14095.78,2025-10-25T07:00:54Z
TX0008209,CU000397,950.74,USD,5900.86,6851.60,2025-10-25T07:09:51Z
TX0005267,CU000846,7520.04,USD,20333.18,27853.22,2025-10-25T07:16:51Z
TX0006332,CU000962,1716.15,USD,96675.20,98391.35,2025-10-25T07:23:34Z
