tx_id,cuenta_id,monto,moneda,saldo_previo,saldo_posterior,timestamp_contable
TX0002495,CU000674,1857.78,USD,10535.18,8677.40,2025-10-23T12:06:23Z
TX0001059,CU000620,468.02,USD,51296.29,50828.27,2025-10-23T12:08:39Z
TX0007715,CU001161,341.81,USD,32284.14,32284.14,2025-10-23T12:12:41Z
TX0007612,CU001654,2649.91,USD,25621.21,22971.30,2025-10-23T12:21:34Z
TX0000377,CU000161,1333.07,USD,38049.72,38049.72,2025-10-23T12:24:54Z
TX0005717,CU000705,398.06,USD,43776.64,43378.58,2025-10-23T12:40:16Z
TX0002278,CU000732,928.72,USD,39562.93,39562.93,2025-10-23T13:00:59Z
TX0004615,CU000659,475.67,GTQ,39356.60,38880.93,2025-10-23T13:19:35Z
TX0004141,CU000221,1958.68,USD,30382.16,28423.48,2025-10-23T13:53:33Z
TX0008885,CU001775,152278.79,GTQ,62011.75,-90267.04,2025-10-23T13:58:10Z
TX0001421,CU001316,249.39,USD,1852.80,1603.41,2025-10-23T15:18:58Z
TX0002272,CU000808,851.95,USD,25277.60,24425.65,2025-10-23T15:35:44Z
TX0000166,CU001317,1307.88,USD,86192.18,84884.30,2025-10-23T15:43:05Z
TX0004899,CU001202,1148.64,USD,33422.16,32273.52,2025-10-23T16:14:21Z
TX0006439,CU000617,894.30,USD,5021.29,5021.29,2025-10-23T16:20:07Z
TX0003545,CU000939,143042.63,GTQ,27779.55,-115263.08,2025-10-23T16:52:03Z
TX0001275,CU000580,424.16,GTQ,4019.98,3595.82,2025-10-23T17:09:41Z
TX0002764,CU001370,434.03,GTQ,20147.59,19713.56,2025-10-23T17:14:18Z
TX0000527,CU000582,842.10,USD,1477.31,635.21,2025-10-23T18:04:28Z
TX0000709,CU000554,259.97,USD,19704.95,19444.98,2025-10-23T18:22:20Z
TX0005601,CU000959,272.14,USD,134808.76,134536.62,2025-10-23T19:29:06Z
TX0004792,CU001435,960.69,USD,309623.78,308663.09,2025-10-23T19:33:09Z
TX0002701,CU001315,6618.07,USD,39782.69,33164.62,2025-10-23T20:46:11Z
TX0007123,CU001549,293.33,GTQ,2803.72,2510.39,2025-10-23T20:48:50Z
TX0000230,CU001745,1147.39,USD,21640.06,20492.67,2025-10-23T21:32:56Z
TX0005184,CU000254,1487.96,USD,228491.40,227003.44,2025-10-23T21:53:33Z
TX0001524,CU000187,2020.24,USD,16384.79,14364.55,2025-10-23T22:46:14Z
TX0005584,CU001797,1011.69,USD,12044.52,11032.83,2025-10-23T23:10:55Z
TX0006360,CU001165,790.37,GTQ,6352.19,5561.82,2025-10-23T23:11:49Z
TX0000752,CU000354,940.59,GTQ,3742.33,2801.74,2025-10-23T23:31:46Z
TX0007788,CU000065,1326.92,USD,11658.58,10331.66,2025-10-23T23:54:06Z
TX0005768,CU000958,417.03,GTQ,36047.86,35630.83,2025-10-24T00:05:36Z
TX0007156,CU000563,689.73,USD,29927.56,29237.83,2025-10-24T00:25:54Z
TX0008178,CU001134,402.56,USD,29258.08,28855.52,2025-10-24T00:43:59Z
TX0002784,CU001663,1797.88,USD,54042.67,52244.79,2025-10-24T00:46:35Z
TX0004251,CU001696,252.61,GTQ,2186.68,1934.07,2025-10-24T00:58:12Z
