tx_id,comercio_id,terminal_id,canal_pago,autorizacion,comision_pct,fecha_hora
TX0007715,M000152,TERM-68457,WEB,AUTH-597968,2.15,2025-10-23T12:12:41Z
TX0000377,M000025,TERM-34773,APP,AUTH-402006,2.26,2025-10-23T12:24:54Z
TX0005717,M000116,TERM-65393,APP,AUTH-192479,0.64,2025-10-23T12:40:16Z
TX0002278,M000277,TERM-26177,WEB,AUTH-837141,1.97,2025-10-23T13:00:59Z
TX0004615,M000332,TERM-57961,APP,AUTH-217879,2.41,2025-10-23T13:19:35Z
TX0008885,M000043,TERM-81912,APP,AUTH-619338,0.90,2025-10-23T13:58:10Z
TX0001421,M000201,TERM-14373,APP,AUTH-649664,2.21,2025-10-23T15:18:58Z
TX0002272,M000420,TERM-22028,WEB,AUTH-122301,2.52,2025-10-23T15:35:44Z
TX0000166,M000330,TERM-16122,WEB,AUTH-717628,1.85,2025-10-23T15:43:05Z
TX0004899,M000091,TERM-93197,APP,AUTH-240920,3.46,2025-10-23T16:14:21Z
TX0003545,M000113,TERM-81789,POS,AUTH-125412,0.98,2025-10-23T16:52:03Z
TX0000527,M000308,TERM-94005,APP,AUTH-227327,3.34,2025-10-23T18:04:28Z
TX0000709,M000103,TERM-13863,APP,AUTH-316812,4.18,2025-10-23T18:22:20Z
TX0005601,M000323,TERM-84348,WEB,AUTH-871002,2.36,2025-10-23T19:29:06Z
TX0004792,M000263,TERM-42802,APP,AUTH-337960,0.98,2025-10-23T19:33:09Z
TX0007123,M000420,TERM-27078,APP,AUTH-603836,0.67,2025-10-23T20:48:50Z
TX0001524,M000446,TERM-62189,POS,AUTH-609389,2.10,2025-10-23T22:46:14Z
TX0005768,M000110,TERM-97586,APP,AUTH-467986,2.91,2025-10-24T00:05:36Z
TX0007156,M000309,TERM-34917,APP,AUTH-627739,1.31,2025-10-24T00:25:54Z
TX0008178,M000261,TERM-66966,WEB,AUTH-699129,1.55,2025-10-24T00:43:59Z
TX0004251,M000399,TERM-63162,WEB,AUTH-690742,1.16,2025-10-24T00:58:12Z
TX0007194,M000446,TERM-22298,POS,AUTH-253188,0.52,2025-10-24T01:47:58Z
TX0004262,M000324,TERM-88584,POS,AUTH-768558,1.12,2025-10-24T02:42:58Z
TX0006590,M000268,TERM-29338,APP,AUTH-912959,2.69,2025-10-24T02:47:31Z
TX0006781,M000251,TERM-45782,APP,AUTH-659299,3.98,2025-10-24T03:01:58Z
TX0004621,M000427,TERM-97447,APP,AUTH-795949,3.12,2025-10-24T04:15:56Z
TX0008090,M000313,TERM-66960,APP,AUTH-548849,2.74,2025-10-24T06:28:28Z
TX0008809,M000403,TERM-38665,WEB,AUTH-331702,2.26,2025-10-24T06:54:03Z
TX0006632,M000008,TERM-41268,WEB,AUTH-125568,2.31,2025-10-24T07:00:02Z
TX0008148,M000141,TERM-80924,APP,AUTH-489648,1.31,2025-10-24T07:00:29Z
TX0002396,M000118,TERM-33188,WEB,AUTH-139576,1.91,2025-10-24T08:42:17Z
TX0007948,M000131,TERM-59455,APP,AUTH-645325,3.79,2025-10-24T08:46:09Z
TX0002945,M000046,TERM-50573,WEB,AUTH-161457,4.04,2025-10-24T09:25:08Z
TX0004086,M000211,TERM-47646,WEB,AUTH-916977,3.54,2025-10-24T09:36:27Z
TX0000451,M000135,TERM-24628,WEB,AUTH-650042,1.69,2025-10-24T12:25:20Z
