tx_id,alerta_id,regla,score_modelo,version_modelo,fecha_deteccion,auto_bloqueo
TX0005557,AL0000001,R2_VELOCIDAD,0.99,v1.0,2025-12-29T10:10:11Z,true
TX0000370,AL0000002,R2_VELOCIDAD,0.99,v1.0,2026-02-12T03:15:43Z,true
TX0000811,AL0000003,R4_DISPOSITIVO,0.99,v2.0,2025-11-29T18:44:12Z,false
TX0004902,AL0000004,R3_COMERCIO_BLACKLIST,0.92,v1.1,2026-01-22T03:49:54Z,true
TX0002577,AL0000005,R2_VELOCIDAD,0.95,v1.1,2026-04-03T21:08:28Z,true
TX0001754,AL0000006,R5_PATRON_RED,0.95,v1.1,2025-11-05T01:18:31Z,true
TX0004654,AL0000007,R2_VELOCIDAD,0.94,v2.0,2025-12-16T04:37:07Z,false
TX0008079,AL0000008,R2_VELOCIDAD,0.92,v1.1,2026-01-07T01:46:52Z,true
TX0004188,AL0000009,R2_VELOCIDAD,0.93,v1.0,2025-11-09T23:40:47Z,false
TX0001368,AL0000010,R2_VELOCIDAD,0.99,v1.1,2026-03-12T04:15:11Z,true
TX0002539,AL0000011,R4_DISPOSITIVO,0.94,v1.1,2026-01-10T06:29:44Z,true
TX0007047,AL0000012,R4_DISPOSITIVO,0.92,v1.1,2026-01-27T00:08:59Z,true
TX0002621,AL0000013,R2_VELOCIDAD,0.92,v1.0,2026-02-18T10:37:37Z,true
TX0007092,AL0000014,R2_VELOCIDAD,0.98,v2.0,2026-03-17T01:49:28Z,true
TX0004293,AL0000015,R4_DISPOSITIVO,0.96,v1.0,2025-12-03T23:07:50Z,false
TX0003903,AL0000016,R5_PATRON_RED,0.98,v2.0,2026-04-08T01:01:15Z,true
TX0002529,AL0000017,R2_VELOCIDAD,0.88,v1.1,2026-01-01T04:44:57Z,false
TX0003088,AL0000018,R4_DISPOSITIVO,0.94,v1.1,2026-01-21T03:17:07Z,true
TX0001205,AL0000019,R1_ALTO_MONTO_INTL,0.89,v1.1,2025-10-26T02:47:20Z,false
TX0006017,AL0000020,R4_DISPOSITIVO,0.95,v1.1,2025-12-30T18:39:30Z,true
TX0007615,AL0000021,R5_PATRON_RED,0.87,v2.0,2026-01-19T01:35:51Z,true
TX0006620,AL0000022,R4_DISPOSITIVO,0.85,v2.0,2026-03-10T02:44:38Z,false
TX0000040,AL0000023,R4_DISPOSITIVO,0.92,v1.1,2025-11-17T10:29:41Z,false
TX0004910,AL0000024,R2_VELOCIDAD,0.93,v1.1,2026-03-05T02:37:42Z,false
TX0004641,AL0000025,R2_VELOCIDAD,0.86,v2.0,2026-03-12T07:14:54Z,true
TX0008021,AL0000026,R4_DISPOSITIVO,0.94,v1.0,2025-11-15T13:51:20Z,false
TX0006371,AL0000027,R2_VELOCIDAD,0.94,v1.1,2025-11-30T01:18:16Z,false
TX0003233,AL0000028,R4_DISPOSITIVO,0.92,v1.0,2025-12-21T17:48:20Z,true
TX0006167,AL0000029,R4_DISPOSITIVO,0.85,v1.1,2026-01-05T07:56:34Z,true
TX0008653,AL0000030,R4_DISPOSITIVO,0.88,v1.1,2026-01-08T19:57:13Z,true
TX0000497,AL0000031,R5_PATRON_RED,0.87,v2.0,2026-02-04T03:39:16Z,true
TX0006022,AL0000032,R2_VELOCIDAD,0.85,v2.0,2026-02-22T15:16:50Z,true
TX0003893,AL0000033,R2_VELOCIDAD,0.88,v1.0,2025-12-05T00:26:04Z,true
TX0006818,AL0000034,R4_DISPOSITIVO,0.86,v1.0,2025-12-13T19:17:43Z,false
TX0001509,AL0000035,R2_VELOCIDAD,0.83,v1.1,2025-12-18T04:22:49Z,true
TX0006605,AL0000036,R5_PATRON_RED,0.91,v2.0,2025-12-25T03:39:21Z,true
TX0002724,AL0000037,R5_PATRON_RED,0.92,v2.0,2026-01-27T00:22:40Z,true
TX0004702,AL0000038,R5_PATRON_RED,0.85,v1.1,2026-02-03T03:01:57Z,true
TX0002278,AL0000039,R4_DISPOSITIVO,0.81,v1.1,2025-10-23T13:01:59Z,false
TX0005584,AL0000040,R4_DISPOSITIVO,0.85,v1.0,2025-10-23T23:11:08Z,false
TX0001705,AL0000041,R4_DISPOSITIVO,0.90,v1.0,2025-12-08T03:50:31Z,false
TX0007872,AL0000042,R4_DISPOSITIVO,0.83,v2.0,2025-12-12T18:46:29Z,false
TX0005486,AL0000043,R4_DISPOSITIVO,0.91,v1.1,2025-12-20T01:55:32Z,false
TX0002349,AL0000044,R5_PATRON_RED,0.90,v1.1,2025-12-29T04:47:12Z,false
TX0004677,AL0000045,R2_VELOCIDAD,0.88,v1.0,2026-01-07T19:52:20Z,false
TX0000372,AL0000046,R2_VELOCIDAD,0.91,v1.1,2026-01-27T02:04:40Z,false
TX0006708,AL0000047,R5_PATRON_RED,0.81,v1.0,2026-02-09T01:06:24Z,false
