tx_origen_id,tx_destino_id,delta_segundos,misma_ip,misma_ubicacion,patron,score_patron
TX0005525,TX0005967,3539009,true,false,SECUENCIA_NORMAL,0.36
TX0005967,TX0001797,2598177,true,false,SECUENCIA_NORMAL,0.22
TX0006633,TX0003808,281890,true,false,SECUENCIA_NORMAL,0.32
TX0001646,TX0002011,1870555,false,false,SECUENCIA_NORMAL,0.28
TX0002011,TX0000270,2522987,true,false,SECUENCIA_NORMAL,0.38
TX0006512,TX0004901,1251353,false,false,SECUENCIA_NORMAL,0.29
TX0000377,TX0002921,6021229,true,false,SECUENCIA_NORMAL,0.35
TX0002921,TX0006196,4787316,true,true,SECUENCIA_NORMAL,0.35
TX0002806,TX0000450,11342788,false,false,SECUENCIA_NORMAL,0.35
TX0002278,TX0006017,5895453,true,false,SECUENCIA_NORMAL,0.36
TX0008530,TX0005030,862593,true,false,SECUENCIA_NORMAL,0.26
TX0005030,TX0008799,2225932,true,false,SECUENCIA_NORMAL,0.32
TX0004141,TX0004174,660736,true,false,SECUENCIA_NORMAL,0.36
TX0006325,TX0003011,125523,true,false,SECUENCIA_NORMAL,0.33
TX0004828,TX0005072,445376,true,false,SECUENCIA_NORMAL,0.26
TX0007065,TX0001502,1260087,true,false,SECUENCIA_NORMAL,0.27
TX0001502,TX0008922,2777097,true,false,SECUENCIA_NORMAL,0.26
TX0004445,TX0008737,2464888,true,false,SECUENCIA_NORMAL,0.26
TX0007197,TX0002996,5799222,false,false,SECUENCIA_NORMAL,0.30
TX0006439,TX0007376,1258880,false,false,SECUENCIA_NORMAL,0.29
TX0002259,TX0005489,3859646,false,false,SECUENCIA_NORMAL,0.28
TX0004236,TX0004354,1254755,true,false,SECUENCIA_NORMAL,0.25
TX0002764,TX0003079,748435,true,false,SECUENCIA_NORMAL,0.29
TX0006562,TX0008169,3450332,true,false,SECUENCIA_NORMAL,0.38
TX0000709,TX0002938,122443,true,false,SECUENCIA_NORMAL,0.23
TX0000302,TX0005849,166126,true,false,SECUENCIA_NORMAL,0.38
TX0006078,TX0002125,883283,true,false,SECUENCIA_NORMAL,0.26
TX0004908,TX0002251,1220349,true,false,SECUENCIA_NORMAL,0.25
TX0007123,TX0006960,820858,true,false,SECUENCIA_NORMAL,0.29
TX0001990,TX0006412,424411,true,false,SECUENCIA_NORMAL,0.33
TX0006412,TX0003650,131209,true,false,SECUENCIA_NORMAL,0.27
TX0006658,TX0006305,5397255,true,false,SECUENCIA_NORMAL,0.23
TX0001524,TX0006019,7821548,true,false,SECUENCIA_NORMAL,0.33
TX0005584,TX0008855,5449963,true,false,SECUENCIA_NORMAL,0.27
TX0008855,TX0007128,5749618,true,false,SECUENCIA_NORMAL,0.32
TX0001672,TX0006391,7001,true,false,SECUENCIA_NORMAL,0.33
TX0007401,TX0001976,4215011,true,false,SECUENCIA_NORMAL,0.31
TX0007171,TX0008370,4220168,true,false,SECUENCIA_NORMAL,0.25
TX0001060,TX0002894,191068,true,false,SECUENCIA_NORMAL,0.28
TX0005768,TX0000403,2558483,true,false,SECUENCIA_NORMAL,0.34
TX0000403,TX0005459,1564140,true,false,SECUENCIA_NORMAL,0.27
TX0002001,TX0001409,447603,true,false,SECUENCIA_NORMAL,0.22
TX0001967,TX0007002,17145,true,false,SECUENCIA_NORMAL,0.34
TX0007156,TX0007250,5885481,true,false,SECUENCIA_NORMAL,0.32
TX0007250,TX0008265,30263,true,false,SECUENCIA_NORMAL,0.31
TX0002784,TX0006942,3775583,true,false,SECUENCIA_NORMAL,0.30
TX0008072,TX0005474,2254291,true,false,SECUENCIA_NORMAL,0.37
TX0007605,TX0008874,23337,false,false,SECUENCIA_NORMAL,0.26
TX0006590,TX0008980,5268132,false,false,SECUENCIA_NORMAL,0.36
TX0001896,TX0000198,550435,true,false,SECUENCIA_NORMAL,0.32
TX0000198,TX0003443,3326945,true,false,SECUENCIA_NORMAL,0.23
TX0007693,TX0003058,3268127,true,false,SECUENCIA_NORMAL,0.25
TX0007586,TX0000378,4182160,true,true,SECUENCIA_NORMAL,0.24
TX0004621,TX0004009,5082093,true,false,SECUENCIA_NORMAL,0.28
TX0001368,TX0001054,2686000,true,false,SECUENCIA_NORMAL,0.35
TX0003397,TX0004557,3238799,true,false,SECUENCIA_NORMAL,0.34
TX0008670,TX0002818,434516,true,false,SECUENCIA_NORMAL,0.27
TX0008379,TX0000601,372957,true,false,SECUENCIA_NORMAL,0.29
TX0000601,TX0003272,1184326,true,false,SECUENCIA_NORMAL,0.36
TX0004337,TX0004799,86112,true,false,SECUENCIA_NORMAL,0.32
TX0008366,TX0008975,322184,true,false,SECUENCIA_NORMAL,0.27
TX0001765,TX0005664,2392124,true,false,SECUENCIA_NORMAL,0.25
TX0005664,TX0004295,1066375,false,false,SECUENCIA_NORMAL,0.23
TX0005608,TX0004660,548836,true,false,SECUENCIA_NORMAL,0.26
TX0001211,TX0006243,262942,true,true,SECUENCIA_NORMAL,0.25
TX0005244,TX0008039,587967,true,false,SECUENCIA_NORMAL,0.27
TX0006632,TX0008158,62129,true,false,SECUENCIA_NORMAL,0.28
TX0002585,TX0000694,842208,true,false,SECUENCIA_NORMAL,0.34
TX0001688,TX0008832,2855251,false,false,SECUENCIA_NORMAL,0.28
TX0001894,TX0001396,5923608,false,false,SECUENCIA_NORMAL,0.25
TX0001396,TX0000114,297262,true,false,SECUENCIA_NORMAL,0.28
TX0001784,TX0002939,1621365,false,false,SECUENCIA_NORMAL,0.30
TX0002939,TX0003915,1272562,true,false,SECUENCIA_NORMAL,0.25
TX0005882,TX0003479,1282159,true,false,SECUENCIA_NORMAL,0.29
TX0000963,TX0006668,308560,false,false,SECUENCIA_NORMAL,0.36
TX0007948,TX0004078,241361,false,false,SECUENCIA_NORMAL,0.27
TX0008282,TX0000510,10272058,true,false,SECUENCIA_NORMAL,0.24
TX0002945,TX0004082,4529126,false,false,SECUENCIA_NORMAL,0.32
TX0008639,TX0008314,313153,true,false,SECUENCIA_NORMAL,0.33
TX0008314,TX0001689,1186066,true,false,SECUENCIA_NORMAL,0.24
TX0001689,TX0000144,2416437,false,false,SECUENCIA_NORMAL,0.27
TX0001466,TX0001590,88376,true,false,SECUENCIA_NORMAL,0.26
TX0004283,TX0008237,1298097,false,false,SECUENCIA_NORMAL,0.27
TX0000887,TX0008914,1646418,true,false,SECUENCIA_NORMAL,0.26
TX0005986,TX0006806,5042298,false,false,SECUENCIA_NORMAL,0.28
TX0007824,TX0006314,1412,true,true,SESION_CONTINUA,0.57
TX0001639,TX0007078,632196,true,false,SECUENCIA_NORMAL,0.23
TX0000552,TX0000803,1138047,true,false,SECUENCIA_NORMAL,0.37
TX0004519,TX0008441,3434989,true,false,SECUENCIA_NORMAL,0.34
TX0008441,TX0005397,3569142,true,false,SECUENCIA_NORMAL,0.25
TX0003588,TX0002170,4093775,true,false,SECUENCIA_NORMAL,0.28
TX0005565,TX0007204,35179,true,false,SECUENCIA_NORMAL,0.27
TX0001953,TX0001046,63155,true,false,SECUENCIA_NORMAL,0.35
TX0006553,TX0003455,3853390,true,false,SECUENCIA_NORMAL,0.28
TX0002775,TX0005312,4673228,true,false,SECUENCIA_NORMAL,0.27
TX0005312,TX0004589,5576877,true,false,SECUENCIA_NORMAL,0.31
TX0001706,TX0001447,3047114,true,false,SECUENCIA_NORMAL,0.24
TX0001447,TX0008084,1374329,true,false,SECUENCIA_NORMAL,0.23
TX0004431,TX0006171,2917027,true,false,SECUENCIA_NORMAL,0.38
TX0007545,TX0004628,1453033,true,false,SECUENCIA_NORMAL,0.28
TX0005700,TX0004303,1073428,true,false,SECUENCIA_NORMAL,0.32
TX0002205,TX0004715,1798613,true,false,SECUENCIA_NORMAL,0.32
TX0006947,TX0006001,3276000,false,false,SECUENCIA_NORMAL,0.25
TX0002290,TX0000249,1266483,true,false,SECUENCIA_NORMAL,0.31
TX0003179,TX0001717,1238216,true,false,SECUENCIA_NORMAL,0.33
TX0003796,TX0007644,5686768,true,false,SECUENCIA_NORMAL,0.37
TX0007735,TX0003022,794143,true,false,SECUENCIA_NORMAL,0.22
TX0003022,TX0001271,942011,true,false,SECUENCIA_NORMAL,0.37
TX0005306,TX0007998,1109282,true,false,SECUENCIA_NORMAL,0.37
TX0005203,TX0001565,11730784,true,false,SECUENCIA_NORMAL,0.35
TX0004663,TX0005311,4680221,true,false,SECUENCIA_NORMAL,0.36
TX0000235,TX0007813,3587632,true,false,SECUENCIA_NORMAL,0.33
TX0000767,TX0005615,2097452,true,false,SECUENCIA_NORMAL,0.37
TX0008949,TX0005328,1461962,true,false,SECUENCIA_NORMAL,0.36
TX0005328,TX0000979,2117535,true,false,SECUENCIA_NORMAL,0.30
TX0000126,TX0002580,451865,true,false,SECUENCIA_NORMAL,0.34
TX0003246,TX0002532,561174,true,false,SECUENCIA_NORMAL,0.31
TX0002532,TX0001868,2910216,true,false,SECUENCIA_NORMAL,0.36
TX0001868,TX0007551,1582712,true,false,SECUENCIA_NORMAL,0.35
TX0007551,TX0002671,3867263,true,false,SECUENCIA_NORMAL,0.34
TX0002671,TX0003658,3508713,true,false,SECUENCIA_NORMAL,0.27
TX0008711,TX0007652,1978422,true,false,SECUENCIA_NORMAL,0.31
TX0007652,TX0002455,863407,true,false,SECUENCIA_NORMAL,0.25
TX0001988,TX0001698,4055719,true,false,SECUENCIA_NORMAL,0.34
TX0006674,TX0002376,868684,true,false,SECUENCIA_NORMAL,0.27
