tx_id,ubicacion_id,fecha_hora,precision_metros,metodo_geolocalizacion,riesgo_geo,es_vpn
TX0002495,U00071,2025-10-23T12:06:23Z,304,TORRE_CELULAR,5,false
TX0001059,U00027,2025-10-23T12:08:39Z,114,GPS,2,false
TX0007715,U00044,2025-10-23T12:12:41Z,328,GPS,3,false
TX0007612,U00086,2025-10-23T12:21:34Z,213,GPS,3,false
TX0000377,U00026,2025-10-23T12:24:54Z,88,GPS,3,false
TX0005717,U00107,2025-10-23T12:40:16Z,279,IP,3,true
TX0002278,U00107,2025-10-23T13:00:59Z,249,IP,3,false
TX0004615,U00003,2025-10-23T13:19:35Z,39,GPS,5,false
TX0004141,U00065,2025-10-23T13:53:33Z,308,GPS,4,false
TX0008885,U00002,2025-10-23T13:58:10Z,199,GPS,3,false
TX0001421,U00063,2025-10-23T15:18:58Z,220,IP,4,false
TX0002272,U00152,2025-10-23T15:35:44Z,114,IP,2,false
TX0000166,U00003,2025-10-23T15:43:05Z,48,GPS,5,false
TX0004899,U00123,2025-10-23T16:14:21Z,276,IP,2,false
TX0006439,U00074,2025-10-23T16:20:07Z,49,TORRE_CELULAR,5,true
TX0003545,U00147,2025-10-23T16:52:03Z,297,GPS,5,false
TX0001275,U00147,2025-10-23T17:09:41Z,182,TORRE_CELULAR,5,false
TX0002764,U00051,2025-10-23T17:14:18Z,159,GPS,4,false
TX0000527,U00046,2025-10-23T18:04:28Z,68,WIFI,3,true
TX0000709,U00058,2025-10-23T18:22:20Z,41,GPS,3,false
TX0005601,U00123,2025-10-23T19:29:06Z,263,WIFI,2,false
TX0004792,U00073,2025-10-23T19:33:09Z,299,WIFI,1,false
TX0002701,U00149,2025-10-23T20:46:11Z,19,TORRE_CELULAR,5,false
TX0007123,U00073,2025-10-23T20:48:50Z,15,GPS,1,false
TX0000230,U00147,2025-10-23T21:32:56Z,80,TORRE_CELULAR,5,false
TX0005184,U00117,2025-10-23T21:53:33Z,238,GPS,4,true
TX0001524,U00049,2025-10-23T22:46:14Z,268,WIFI,1,false
TX0005584,U00158,2025-10-23T23:10:55Z,342,WIFI,3,false
TX0006360,U00073,2025-10-23T23:11:49Z,102,GPS,1,false
TX0000752,U00102,2025-10-23T23:31:46Z,126,IP,3,false
TX0007788,U00073,2025-10-23T23:54:06Z,270,IP,1,false
TX0005768,U00098,2025-10-24T00:05:36Z,345,WIFI,5,false
TX0007156,U00072,2025-10-24T00:25:54Z,330,GPS,3,false
TX0008178,U00049,2025-10-24T00:43:59Z,232,GPS,1,false
TX0002784,U00128,2025-10-24T00:46:35Z,320,WIFI,5,false
TX0004251,U00049,2025-10-24T00:58:12Z,34,GPS,1,false
TX0007194,U00101,2025-10-24T01:47:58Z,211,GPS,5,false
TX0004262,U00051,2025-10-24T02:42:58Z,348,GPS,4,false
TX0006590,U00004,2025-10-24T02:47:31Z,284,TORRE_CELULAR,4,true
TX0006781,U00123,2025-10-24T03:01:58Z,221,GPS,2,false
TX0001896,U00010,2025-10-24T03:36:38Z,269,GPS,5,false
TX0004621,U00025,2025-10-24T04:15:56Z,49,IP,1,false
TX0003397,U00052,2025-10-24T05:05:44Z,153,GPS,5,false
TX0007026,U00028,2025-10-24T05:45:06Z,167,GPS,3,true
TX0008090,U00074,2025-10-24T06:28:28Z,245,GPS,5,false
TX0002194,U00098,2025-10-24T06:33:23Z,53,TORRE_CELULAR,5,false
TX0005608,U00100,2025-10-24T06:41:34Z,197,GPS,3,false
TX0008809,U00047,2025-10-24T06:54:03Z,167,GPS,5,false
TX0006632,U00001,2025-10-24T07:00:02Z,297,IP,4,false
TX0008148,U00002,2025-10-24T07:00:29Z,65,TORRE_CELULAR,3,false
TX0001249,U00147,2025-10-24T07:11:35Z,117,GPS,5,false
TX0001688,U00001,2025-10-24T07:22:17Z,144,GPS,4,false
TX0001784,U00043,2025-10-24T08:24:53Z,314,IP,2,false
TX0002396,U00074,2025-10-24T08:42:17Z,225,GPS,5,false
TX0007948,U00145,2025-10-24T08:46:09Z,56,GPS,3,false
TX0002218,U00025,2025-10-24T08:50:54Z,242,IP,1,false
TX0002945,U00121,2025-10-24T09:25:08Z,286,GPS,4,false
TX0004086,U00050,2025-10-24T09:36:27Z,323,IP,5,false
TX0007913,U00029,2025-10-24T10:09:04Z,70,GPS,5,false
TX0006956,U00155,2025-10-24T10:12:48Z,85,GPS,3,false
TX0008804,U00026,2025-10-24T11:12:47Z,334,GPS,3,false
TX0003370,U00050,2025-10-24T12:23:46Z,188,WIFI,5,false
TX0000451,U00150,2025-10-24T12:25:20Z,103,TORRE_CELULAR,2,false
TX0001448,U00075,2025-10-24T13:56:17Z,325,WIFI,2,true
TX0004756,U00121,2025-10-24T14:21:45Z,161,IP,4,false
TX0007824,U00121,2025-10-24T14:27:40Z,231,TORRE_CELULAR,4,false
TX0006314,U00121,2025-10-24T14:51:12Z,70,TORRE_CELULAR,4,false
TX0006329,U00027,2025-10-24T15:25:21Z,311,GPS,2,false
TX0005606,U00031,2025-10-24T15:52:34Z,249,GPS,4,false
TX0003588,U00051,2025-10-24T16:25:46Z,322,GPS,4,false
TX0002497,U00146,2025-10-24T17:05:23Z,122,TORRE_CELULAR,5,false
TX0000551,U00025,2025-10-24T17:17:21Z,288,TORRE_CELULAR,1,false
TX0007682,U00030,2025-10-24T17:35:58Z,55,GPS,4,false
TX0005026,U00037,2025-10-24T18:38:56Z,303,GPS,4,false
TX0007252,U00047,2025-10-24T20:09:39Z,241,TORRE_CELULAR,5,true
TX0003631,U00046,2025-10-24T20:14:32Z,212,GPS,3,false
TX0008772,U00097,2025-10-24T21:08:56Z,252,WIFI,4,false
TX0006947,U00027,2025-10-24T21:27:01Z,256,TORRE_CELULAR,2,false
TX0001159,U00121,2025-10-24T22:16:40Z,164,GPS,4,false
TX0005745,U00023,2025-10-24T22:36:06Z,63,TORRE_CELULAR,3,true
TX0002374,U00098,2025-10-24T23:15:48Z,168,TORRE_CELULAR,5,false
TX0003179,U00002,2025-10-24T23:18:43Z,286,GPS,3,false
TX0003614,U00097,2025-10-24T23:29:51Z,280,GPS,4,false
TX0005285,U00058,2025-10-24T23:31:16Z,91,GPS,3,false
TX0005203,U00093,2025-10-24T23:37:38Z,192,IP,2,false
TX0006089,U00010,2025-10-24T23:57:09Z,238,IP,5,false
TX0008158,U00050,2025-10-25T00:15:31Z,181,GPS,5,false
TX0001026,U00058,2025-10-25T00:20:29Z,162,GPS,3,false
TX0008713,U00110,2025-10-25T01:51:03Z,75,WIFI,4,false
TX0003246,U00073,2025-10-25T02:32:00Z,350,IP,1,false
TX0002993,U00049,2025-10-25T03:43:01Z,233,GPS,1,false
TX0005561,U00001,2025-10-25T03:44:00Z,105,WIFI,4,true
TX0003823,U00054,2025-10-25T03:53:31Z,220,TORRE_CELULAR,4,false
TX0007395,U00025,2025-10-25T04:17:26Z,133,TORRE_CELULAR,1,false
TX0002938,U00154,2025-10-25T04:23:03Z,161,TORRE_CELULAR,5,false
TX0008595,U00075,2025-10-25T04:40:39Z,48,WIFI,2,false
TX0005968,U00151,2025-10-25T05:02:13Z,279,IP,3,false
TX0002407,U00049,2025-10-25T05:10:14Z,175,IP,1,false
TX0001493,U00102,2025-10-25T06:02:18Z,38,GPS,3,false
TX0000841,U00108,2025-10-25T07:00:54Z,198,WIFI,4,true
TX0008209,U00139,2025-10-25T07:09:51Z,104,GPS,4,true
TX0005267,U00020,2025-10-25T07:16:51Z,152,GPS,1,false
TX0006332,U00028,2025-10-25T07:23:34Z,105,GPS,3,false
TX0005067,U00098,2025-10-25T08:19:25Z,28,GPS,5,false
TX0000294,U00136,2025-10-25T08:34:04Z,75,GPS,4,false
TX0007126,U00099,2025-10-25T09:10:03Z,37,GPS,5,false
TX0001420,U00082,2025-10-25T09:51:50Z,37,GPS,5,false
TX0005636,U00003,2025-10-25T10:27:02Z,101,WIFI,5,false
TX0005641,U00056,2025-10-25T10:48:55Z,348,TORRE_CELULAR,4,false
TX0002127,U00001,2025-10-25T10:55:31Z,93,WIFI,4,false
TX0008057,U00122,2025-10-25T12:13:30Z,277,IP,4,false
TX0002440,U00151,2025-10-25T12:28:44Z,82,IP,3,false
TX0003728,U00001,2025-10-25T12:40:13Z,172,TORRE_CELULAR,4,false
TX0001575,U00123,2025-10-25T12:44:23Z,319,IP,2,false
TX0006541,U00025,2025-10-25T13:28:13Z,47,WIFI,1,false
TX0003344,U00027,2025-10-25T13:30:49Z,345,IP,2,false
TX0003831,U00008,2025-10-25T13:36:07Z,245,TORRE_CELULAR,2,false
TX0005112,U00123,2025-10-25T14:25:23Z,65,GPS,2,false
TX0006767,U00027,2025-10-25T14:51:53Z,271,GPS,2,false
TX0008604,U00098,2025-10-25T14:55:39Z,73,GPS,5,false
TX0005232,U00147,2025-10-25T15:12:28Z,144,IP,5,false
TX0005315,U00126,2025-10-25T15:14:13Z,332,IP,4,false
TX0004937,U00089,2025-10-25T15:54:46Z,58,IP,2,false
TX0002234,U00099,2025-10-25T16:23:44Z,176,IP,5,false
TX0001216,U00146,2025-10-25T18:06:58Z,248,IP,5,false
TX0007189,U00128,2025-10-25T18:34:22Z,81,GPS,5,false
TX0002533,U00050,2025-10-25T19:05:01Z,127,IP,5,false
TX0008327,U00160,2025-10-25T19:42:29Z,301,TORRE_CELULAR,1,false
TX0007750,U00094,2025-10-25T19:52:38Z,150,TORRE_CELULAR,4,false
TX0008928,U00122,2025-10-25T20:06:36Z,151,GPS,4,false
TX0002193,U00074,2025-10-25T20:34:56Z,198,WIFI,5,false
TX0005241,U00152,2025-10-25T20:57:45Z,278,TORRE_CELULAR,2,false
TX0000234,U00049,2025-10-25T20:58:41Z,342,GPS,1,false
TX0002910,U00050,2025-10-25T21:16:07Z,176,GPS,5,false
TX0005733,U00029,2025-10-25T22:00:40Z,298,IP,5,false
TX0005650,U00026,2025-10-25T22:13:23Z,313,IP,3,false
TX0002002,U00049,2025-10-25T22:15:05Z,306,TORRE_CELULAR,1,false
TX0006815,U00029,2025-10-25T22:27:02Z,257,IP,5,false
TX0004655,U00027,2025-10-25T23:49:59Z,153,GPS,2,false
TX0007478,U00150,2025-10-25T23:50:07Z,129,IP,2,false
TX0000431,U00050,2025-10-25T23:51:26Z,87,GPS,5,false
TX0006696,U00004,2025-10-26T00:20:59Z,344,GPS,4,false
TX0007408,U00108,2025-10-26T00:53:15Z,312,GPS,4,false
TX0006557,U00077,2025-10-26T01:10:19Z,218,IP,5,false
TX0003566,U00122,2025-10-26T01:48:06Z,266,GPS,4,false
TX0001788,U00073,2025-10-26T02:30:46Z,226,WIFI,1,false
TX0002663,U00031,2025-10-26T02:33:07Z,218,GPS,4,true
TX0001205,U00039,2025-10-26T02:46:19Z,234,IP,4,false
TX0005509,U00050,2025-10-26T03:51:13Z,180,WIFI,5,true
TX0001183,U00025,2025-10-26T04:13:42Z,93,IP,1,false
TX0006007,U00080,2025-10-26T04:27:39Z,249,WIFI,4,false
TX0003719,U00053,2025-10-26T04:48:06Z,149,GPS,5,true
TX0007734,U00025,2025-10-26T04:50:36Z,317,WIFI,1,false
TX0005306,U00059,2025-10-26T05:14:49Z,46,GPS,5,false
TX0001605,U00128,2025-10-26T05:53:43Z,39,GPS,5,false
TX0006322,U00076,2025-10-26T05:56:43Z,172,GPS,5,false
TX0008537,U00017,2025-10-26T06:46:10Z,125,IP,4,false
TX0001019,U00122,2025-10-26T07:11:14Z,28,GPS,4,false
TX0004013,U00102,2025-10-26T07:28:02Z,59,GPS,3,false
TX0004650,U00151,2025-10-26T08:09:00Z,338,WIFI,3,false
TX0002152,U00002,2025-10-26T08:34:21Z,89,GPS,3,false
TX0008623,U00076,2025-10-26T08:39:20Z,162,IP,5,true
TX0000939,U00052,2025-10-26T08:43:27Z,198,WIFI,5,false
TX0007909,U00139,2025-10-26T09:55:45Z,141,WIFI,4,true
TX0000768,U00002,2025-10-26T10:20:47Z,188,IP,3,false
TX0002825,U00025,2025-10-26T11:02:19Z,247,WIFI,1,false
TX0003568,U00073,2025-10-26T11:55:22Z,90,TORRE_CELULAR,1,true
TX0005580,U00051,2025-10-26T12:19:19Z,142,GPS,4,false
TX0004374,U00051,2025-10-26T12:44:13Z,150,GPS,4,false
TX0006289,U00025,2025-10-26T12:58:43Z,238,GPS,1,false
TX0003926,U00146,2025-10-26T13:01:30Z,298,IP,5,false
TX0008451,U00096,2025-10-26T13:55:00Z,144,TORRE_CELULAR,5,true
TX0002806,U00049,2025-10-26T14:15:47Z,166,GPS,1,false
TX0004465,U00049,2025-10-26T14:23:29Z,225,WIFI,1,false
TX0005619,U00034,2025-10-26T14:29:26Z,115,TORRE_CELULAR,2,false
TX0002737,U00130,2025-10-26T14:42:27Z,202,GPS,5,false
TX0003895,U00122,2025-10-26T15:53:01Z,132,WIFI,4,false
TX0007019,U00074,2025-10-26T16:17:19Z,174,IP,5,false
TX0000734,U00027,2025-10-26T16:37:19Z,226,GPS,2,false
TX0000759,U00075,2025-10-26T16:48:01Z,228,GPS,2,false
TX0004321,U00002,2025-10-26T16:48:53Z,86,TORRE_CELULAR,3,false
TX0004551,U00145,2025-10-26T17:01:27Z,148,WIFI,3,false
TX0003321,U00054,2025-10-26T17:53:50Z,281,GPS,4,true
TX0007896,U00006,2025-10-26T18:53:56Z,85,TORRE_CELULAR,2,false
TX0002083,U00007,2025-10-26T20:17:54Z,177,IP,5,false
TX0006184,U00122,2025-10-26T21:59:53Z,230,TORRE_CELULAR,4,false
TX0001887,U00049,2025-10-26T22:14:38Z,220,IP,1,true
TX0001381,U00074,2025-10-26T22:27:47Z,67,TORRE_CELULAR,5,false
TX0002804,U00061,2025-10-27T00:10:44Z,116,IP,4,false
TX0003186,U00122,2025-10-27T00:36:52Z,23,IP,4,false
TX0007665,U00052,2025-10-27T01:08:59Z,233,TORRE_CELULAR,5,false
TX0001697,U00119,2025-10-27T01:29:40Z,215,IP,3,false
TX0004803,U00122,2025-10-27T02:19:00Z,30,GPS,4,false
TX0000888,U00113,2025-10-27T02:24:48Z,194,IP,3,true
TX0004890,U00055,2025-10-27T02:37:22Z,167,GPS,3,false
