tx_id,referencia_externa,fecha_hora,fecha_valor,monto,moneda,tipo_tx,canal,estado,internacional,contracargo,velocity_1h,etiquetas,score_fraude
TX0002495,REF-2026-0002495,2025-10-23T12:06:23Z,2025-10-23,1857.78,USD,TRANSFERENCIA,APP,APROBADA,true,false,7,internacional|alta_velocidad,0.59
TX0001059,REF-2026-0001059,2025-10-23T12:08:39Z,2025-10-23,468.02,USD,RETIRO_ATM,ATM,APROBADA,false,false,3,normal,0.28
TX0007715,REF-2026-0007715,2025-10-23T12:12:41Z,2025-10-23,341.81,USD,COMPRA_ONLINE,WEB,PENDIENTE,true,false,6,internacional,0.35
TX0007612,REF-2026-0007612,2025-10-23T12:21:34Z,2025-10-23,2649.91,USD,TRANSFERENCIA,API,APROBADA,true,false,2,internacional,0.67
TX0000377,REF-2026-0000377,2025-10-23T12:24:54Z,2025-10-23,1333.07,USD,PAGO_COMERCIO,APP,PENDIENTE,false,false,7,alta_velocidad,0.51
TX0005717,REF-2026-0005717,2025-10-23T12:40:16Z,2025-10-23,398.06,USD,PAGO_COMERCIO,APP,APROBADA,true,false,4,internacional|comercio_riesgoso,0.69
TX0002278,REF-2026-0002278,2025-10-23T13:00:59Z,2025-10-23,928.72,USD,PAGO_COMERCIO,WEB,PENDIENTE,true,false,6,internacional|dispositivo_riesgoso,0.84
TX0004615,REF-2026-0004615,2025-10-23T13:19:35Z,2025-10-23,475.67,GTQ,PAGO_COMERCIO,APP,APROBADA,false,false,5,normal,0.38
TX0004141,REF-2026-0004141,2025-10-23T13:53:33Z,2025-10-23,1958.68,USD,TRANSFERENCIA,WEB,APROBADA,true,false,1,internacional,0.47
TX0008885,REF-2026-0008885,2025-10-23T13:58:10Z,2025-10-23,152278.79,GTQ,PAGO_SERVICIO,APP,APROBADA,false,false,4,alto_monto,0.71
TX0001421,REF-2026-0001421,2025-10-23T15:18:58Z,2025-10-23,249.39,USD,PAGO_SERVICIO,APP,APROBADA,true,false,6,internacional|dispositivo_riesgoso,0.69
